"","Mock1","Mock2","Mock3"
"FJ981654.1.1204",3749,6748,16855
"HM046431.1.1200",3037,5648,10350
"KR029790.1.1200",2038,3596,9814
"LN611354.1.1200",1792,3369,9550
"KF571471.1.1207",1818,3389,9169
"AJ239312.1.1355",2073,4352,6481
"KX984117.1.1262",1587,2902,7034
"FJ503081.1.1238",1143,2711,6050
"EU156766.1.1269",1495,2447,5412
"KT873246.1.1201",1319,2354,3709
"KX792217.1.1200",993,1597,4762
"AE000513.2467934.2469435",1595,3079,1979
"LC198619.1.1220",1088,2752,2760
"EU455199.1.1210",771,1728,3711
"KX212247.1.1200",1408,2983,1184
"KX792215.1.1201",828,1622,2576
"KF084610.1.1355",581,1273,2119
"CVLP01000086.4757.6053",502,935,1577
"DQ801220.1.1342",206,570,1105
"EU765294.1.1363",199,537,994
"CAQA01000070.1409.4877",0,0,718
"CP000721.924919.926423",0,210,498
"GFIM01005958.9.1236",51,70,13
"DQ796136.1.1225",19,0,0
"FJ371873.1.1224",16,0,0
"GQ448970.1.1284",0,16,0
"AY981913.1.1349",0,0,9
"DQ823971.1.1252",0,0,8
"JQ189739.1.1362",7,0,0
"EU776908.1.1289",7,0,0
"JQ186757.1.1359",5,0,0
"EU762772.1.1354",4,0,0
"DQ441256.1.1313",0,4,0
"EU767188.1.1370",0,0,4
"EU510027.1.1344",2,0,0
"DQ793742.1.1312",2,0,0
"FJ753830.1.1232",2,0,0
"4cddfed97ed397e48febf56da534b2a7",0,13,0
"f0a99f591da5ea357f519648de1daf71",0,12,0
"e028a0db64a79ab1ec86a07447ad726e",0,4,0
